,,,,,,,,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),Blank#1_Seg1Ev1,Blank#2_Seg1Ev1,Blank#3_Seg1Ev1,Blank#4_Seg1Ev1,Blank#5_Seg1Ev1,Blank#6_Seg1Ev1,Blank#7_Seg1Ev1,Blank#8_Seg1Ev1,Blank#9_Seg1Ev1,Blank#10_Seg1Ev1,Blank#11_Seg1Ev1,cR8#1_Seg1Ev1,cR8m#1_Seg1Ev1,cR8w#1_Seg1Ev1,cR15#1_Seg1Ev1,cR15m#1_Seg1Ev1,cR15w#1_Seg1Ev1,cR26#1_Seg1Ev1,cR26m#1_Seg1Ev1,cR26w#1_Seg1Ev1,cR27#1_Seg1Ev1,cR27m#1_Seg1Ev1,cR27w#1_Seg1Ev1,cR36-2#1_Seg1Ev1,cR36-2m#1_Seg1Ev1,cR36-2w#1_Seg1Ev1,cR41m#1_Seg1Ev1,cR41w#1_Seg1Ev1,cR44#1_Seg1Ev1,cR44m#1_Seg1Ev1,cR44w#1_Seg1Ev1,cR59#1_Seg1Ev1,cR59m#1_Seg1Ev1,cR59w#1_Seg1Ev1,cR72#1_Seg1Ev1,cR72m#1_Seg1Ev1,cR72w#1_Seg1Ev1
3.93_384.1187m/z,384.1187445,1,3.933333333,0,0,0,0,0,0,0,0,0,0,0,107606.9842,259981.2168,204883.4024,81211.40257,108728.5947,56582.0845,25573.6622,22475.06906,41014.40643,45210.70284,59158.28923,112327.3511,423305.6492,340236.0091,553301.7836,52867.43801,82723.01404,143042.6039,103226.2462,229268.6606,62770.13206,11704.54211,60081.98104,87821.1531,75931.60815,167642.0596
3.72_282.1207m/z,282.1207045,1,3.72,0,0,378.501898,0,0,0,0,0,0,0,0,91810.25622,57800.33865,107098.9721,19922.47467,14468.48425,6865.090942,3486.558083,5562.871552,155028.3824,92531.17887,72117.12905,95754.6364,29640.51623,11006.39521,74724.29864,56597.32022,97698.33512,53309.75061,15914.25118,98029.20504,17952.37684,948.7991509,214460.9206,35744.77077,18226.32782,139929.8058
1.15_370.0870m/z,370.0870336,1,1.146666667,0,0,0,0,0,0,0,0,0,0,0,23338.59981,98010.67753,33721.31974,4704.279134,6320.954834,32228.18945,70836.21875,68083.72207,61201.48083,1607.849335,3859.722473,1482.288849,37622.87009,33968.61505,18869.54334,57580.8712,23477.82982,63153.00229,62535.38257,48787.95341,1521.120768,1731.211182,5337.695335,15960.70251,26771.12578,17954.62839
15.57_536.1708m/z,536.1708384,1,15.57333333,86660.25672,70984.29641,15268.68263,29053.63842,16397.42009,76652.67979,109410.8119,127292.3321,147058.0801,188207.4189,215883.2315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.151842937,0,0,0,0,0
16.40_610.1928m/z,610.192838,1,16.4,7035.025055,6355.131592,33539.46929,45996.57898,3245.01355,69620.52875,121562.8428,116616.6247,121605.3842,140525.3217,173072.4281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_278.1188m/z,278.1188479,1,1.16,0,0,0,0,0,0,0,0,0,0,0,48597.73636,29983.85907,61718.12586,978927.3641,1232984.656,1033727.021,9399.789381,3964.549933,25596.31643,594087.0353,701316.5786,1028596.937,2943.031494,1432.735291,6446.350815,673482.0533,847689.2483,21568.63038,20071.59097,82270.96596,1161954.867,1156596.865,1512710.785,237802.5926,251086.3151,477386.8257
1.16_260.1094m/z,260.1094449,1,1.16,0,0,5929.705368,0,0,0,0,0,0,0,0,390706.9199,245463.2957,416374.7342,2414349.85,3342205.864,2447686.939,199560.0421,61269.78799,140916.7374,1115216.411,1361914.634,1751794.083,50971.43724,23711.86911,74910.64813,898748.8668,1126602.369,143578.2533,158693.3436,290967.4313,1775102.809,1676901.598,1955181.593,1120621.698,1563719.98,1400585.885
1.08_266.1235m/z,266.1235281,1,1.08,0,0,0,0,0,0,0,0,0,0,0,1572663.799,1078440.359,1541457.41,1326611.279,1288180.845,1189655.719,9255.114624,20774.71957,26978.99145,76679.93705,130956.2219,110884.7319,61448.22045,40653.08158,59513.0855,256917.0642,325220.5253,96712.89359,138940.7515,223255.7625,101609.9013,85231.68179,106063.7337,1017648.245,1065523.334,1301762.172
9.56_437.2019m/z,437.2019427,1,9.56,0,0,0,0,0,0,0,0,0,0,0,15136.3763,41014.5378,51316.29922,4838.474808,6713.580627,45592.37576,62790.64398,118990.7484,57478.97814,79515.51703,89536.28607,88266.31153,60861.25887,101932.8521,36603.82217,110156.8911,366961.6659,62426.84592,165602.4679,46467.6232,31205.84388,26595.9106,75045.33419,56508.15894,81447.41694,87885.85168
1.12_127.0399m/z,127.0399462,1,1.12,0,0,1666.963713,0,0,0,0,0,0,0,0,56363.74077,52063.24558,53012.68078,20068.6159,14943.38739,8193.249238,39986.65424,32182.37537,22767.79133,38013.23712,33620.25774,22935.61779,14186.09419,25345.14624,19835.36323,29309.41514,29750.61896,9249.783859,6492.875015,1110.242294,55737.91555,45047.17128,38812.27213,11994.43564,9818.113489,7943.283195
0.97_333.0542m/z,333.054166,1,0.973333333,0,0,0,0,0,0,0,0,0,0,0,3981.149994,4231.075714,3651.252472,11457.72878,15302.12627,22338.70847,7933.879082,749.2681885,22894.21939,10536.15894,20368.67279,20703.1566,5909.813629,1779.783173,3500.021683,42464.66,41723.78527,21405.00625,9216.487915,14898.22714,28344.92325,19849.28432,20516.8842,15778.18347,11925.44553,18970.41967
1.11_325.1132m/z,325.113216,1,1.106666667,0,0,0,0,0,0,0,0,0,0,0,205263.727,72844.02299,278404.7526,177985.4224,8607.960297,25668.69018,37110.29488,18522.09973,16092.36351,143983.3852,28400.69146,33040.85432,12810.412,12496.3786,26531.46295,26064.84733,48119.59207,60880.22615,35208.19069,54544.15739,109996.9381,27067.49731,59809.42993,357595.0843,27211.13508,13315.09109
3.49_166.0863m/z,166.0863223,1,3.493333333,0,0,0,0,0,0,0,0,0,0,0,88497.85508,40580.51907,99304.13486,243548.826,258708.6621,108779.1921,62736.60329,68939.55403,677290.6526,680519.866,577506.685,641097.0609,138287.4546,154403.8603,389602.4208,117310.0085,127753.3791,100172.3137,53147.8472,196424.1434,442519.784,234732.9783,566191.1418,275376.7563,169622.1847,447636.6092
1.09_286.1020m/z,286.1020081,1,1.093333333,0,948.768148,0,0,410.7726358,0,0,0,0,0,0,62752.74657,13935.23212,54012.92593,34055.10349,18144.61285,35299.30234,40098.23889,48413.24434,49593.37178,31481.32162,6225.047562,15976.74641,109157.3612,78216.94555,112823.3837,17389.20287,31455.06126,144889.4025,89744.08932,139601.25,10010.20665,2187.057587,5196.977707,112596.968,79791.68798,109422.7912
3.47_120.0824m/z,120.0824143,1,3.466666667,0,0,0,0,0,0,0,0,0,0,0,22035.00157,6954.079956,25335.15205,59219.48427,70183.08652,23415.13213,8550.634781,13735.22752,164258.5572,175199.7233,139792.7063,236241.811,28956.5266,34111.68275,89950.47042,25668.79524,32138.07298,22132.38356,11279.65039,49616.16634,102982.2905,57274.84816,174367.5526,73258.27622,39938.31162,117392.8215
