,,,,,,,,e,m,w,e,m,w,e,m,w,e,m,w,e,m,w,m,w,e,m,w,e,m,w,e,m,w
,,,,,,,,8,8,8,15,15,15,26,26,26,27,27,27,36,36,36,41,41,44,44,44,59,59,59,72,72,72
Compound,m/z,Charge,Retention time (min),blank-1,blank-3,blank-4,blank-5,R8-1,R8m-1,R8w-1,R15-1,R15m-1,R15w-1,R26-1,R26m-1,R26w-1,R27-1,R27m-1,R27w-1,R36-2-1,R36-2m-1,R36-2w-1,R41m-1,R41w-1,R44-1,R44m-1,R44w-1,R59-1,R59m-1,R59w-1,R72-1,R72m-1,R72w-1
1.12_251.0937m/z,251.0936573639,1,1.1214333333,0,345.4044914868,1177.9526756816,1321.4830518778,167919.542937804,114399.146971987,188194.427220856,89706.3377967817,97455.7625393527,101743.670785267,17002.6341736885,16850.1850659966,19262.2536621092,83719.1369392064,81542.7247314095,67538.0466308602,57355.9769213482,60276.0113067622,145015.62822546,64262.5597034914,94364.1506971993,52058.7793121343,10259.7928663498,23977.2163804796,99682.5399197005,55737.6287239312,102648.034828061,43186.717490095,35200.0264782595,73929.0404863482
9.31_262.1772m/z,262.177205152,1,9.3050666667,0,3840.2387507505,665.6338693742,0,51087.6140977252,90126.0917892054,101457.209426287,37878.088378907,29480.1676115812,148417.829793779,74617.5813940344,98540.2450004271,74163.2326270587,73609.2947960237,116931.036619831,88127.1579099176,55704.0284423826,111203.73680994,142765.697834221,22933.1625926343,16528.799254338,71411.3463865227,78975.5761826607,89219.4573262724,8088.9453974737,66447.9464721686,124898.3470222,92622.5918409007,82863.5237455309,90710.8994409843
7.77_102.1016m/z,102.1015556793,1,7.7672166667,94372.5839843728,387.8125068143,1764.6441981253,507.6350506597,0,0,0,0,0,0,0,1326.9287990135,0,1501.2238600954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.25_295.2439m/z,295.2439054009,1,8.2505333333,63573.9368824311,0,287.9795379639,0.2245678711,152912.388885572,98735.4138632286,77643.1354337974,305295.270675334,309912.758748954,105711.201226852,65464.6336246488,47543.6683157901,79894.7546627025,66050.4826863136,59244.8522579257,48635.8088111832,120239.738586038,64611.6451621008,90992.195399448,221809.984599829,204775.160386072,269578.464563724,186526.287358396,292578.785418956,72008.9489746097,77834.3287353515,297223.402604153,377231.339665572,226525.150474343,375759.919649471
4.67_379.1762m/z,379.176246056,1,4.66965,0,34.8440214158,0,0,47528.396633997,154163.174706094,171187.935445008,15004.5524036394,26864.2081655216,30425.1726901006,23514.1181894103,18388.3808609486,18073.9425034264,117860.921106081,293846.170433536,376398.714366084,105669.95585499,118348.40784058,70850.6883600203,34185.8916006994,22094.4865305364,0.0784319143,492.7623161494,16621.0691508574,531786.516518372,228985.043474776,420758.56987969,279540.062110933,296935.189124796,354526.433588464
2.07_307.1510m/z,307.1510285262,1,2.0661,0,0,4234.1215678042,1137.5828055595,37435.8023363001,53154.9428016008,215952.655945628,20034.3571851419,114255.353178456,123170.636297325,22017.0786522574,180864.865089681,134828.988415508,15881.0251418768,10833.5383387447,22174.7167431539,30454.7971978027,139212.068068496,239000.980203495,64115.2986062586,97983.7264554759,56409.8291707961,56023.6633616438,125466.0035575,11451.9441175977,88794.281715645,167109.251354242,18265.2152460919,133909.63967823,357858.08972708
1.64_262.2003m/z,262.2002707812,1,1.6377,0,793.0927128541,1067.1267414362,1287.6089855074,411187.466796884,234721.839531329,441922.662627348,2157510.62562045,3023959.77082375,1672454.15014108,67828.0821582872,65471.588271587,70873.0801726097,534411.227519729,798799.804074226,1108415.52913395,13079.5860214835,28711.1360275134,10120.5008960491,288923.962329724,393563.353343359,91520.3472718365,100661.009831767,164084.662554454,286479.572903957,293007.152953109,332003.755693452,1439846.29766928,1589517.89072573,2192071.97464951
2.14_136.1911m/z,136.1911139528,1,2.143,274.0880743123,2808.3853786254,4726.3300593329,18797.6803462801,414933.691774234,243746.77859974,532392.309993062,352449.95997785,543806.840030833,262239.199972692,139400.194403426,286850.343769847,1180647.60850354,490280.319147148,544059.122254911,604700.32306713,439849.005549965,684092.974295693,1291644.1556269,397241.394973914,539476.087714494,200839.156271157,142325.587640225,445710.617496347,373675.155992531,356742.4556352,630477.269348418,684570.271218744,845498.518647461,1715714.06307288
2.65_276.2038m/z,276.2038400823,1,2.6483166667,0,1456.4381168606,524.4736152342,519.5743933959,1399381.64111431,479814.08862102,1334588.38138605,2581169.71496313,2604084.8060291,1220553.38034752,25729.5692015328,58354.6134149607,78084.7900232173,3284936.00129056,3986569.58936039,6678694.47101197,8310.5685987434,48915.9571382554,42979.3572408723,622809.953169214,811785.603472947,146676.682249347,79474.211498293,198704.685847568,449289.705398758,283073.991453719,845579.180312355,5228967.34746207,4130692.93409683,6485881.11172014
1.69_136.1531m/z,136.1531473174,1,1.6926333333,11.1681159421,16673.67860895,12494.7231928172,21897.810909534,3181595.62333673,107392.924866343,418581.751735465,1629712.77233887,584274.897051728,362011.960631599,1283180.78436879,195163.692324576,360300.216439879,1594535.01194261,1420576.23665826,1860349.4543039,2412722.37402346,889224.596436535,2244764.91485939,1241605.55982736,1416348.62054754,1477422.95274548,417218.218065252,1366568.06605505,871458.275107335,110037.370817222,1565140.93470966,2234601.79276756,150279.321464537,998596.739169493
